date,Data
2021-05-14,22903159
2021-05-15,22904001
2021-05-16,22904770
2021-05-17,22905557
2021-05-18,22906320
2021-05-19,22907045
2021-05-20,22907729
2021-05-21,22908428
2021-05-22,22909090
2021-05-23,22909709
2021-05-24,22910345
2021-05-25,22910952
2021-05-26,22911552
2021-05-27,22912185
2021-05-28,22912815
2021-05-29,22913428
2021-05-30,22914042
2021-05-31,22914639
2021-06-01,22915223
2021-06-02,22915764
2021-06-03,22916328
2021-06-04,22916871
2021-06-05,22917427
2021-06-06,22917981
2021-06-07,22918598
2021-06-08,22919170
