date,Data
2021-04-05,75139
2021-04-06,71528
2021-04-07,68055
2021-04-08,64772
2021-04-09,61643
2021-04-10,58645
2021-04-11,55845
2021-04-12,53119
2021-04-13,50474
2021-04-14,48095
2021-04-15,45819
2021-04-16,43645
2021-04-17,41610
2021-04-18,39581
2021-04-19,37703
2021-04-20,35925
2021-04-21,34220
2021-04-22,32608
2021-04-23,31073
2021-04-24,29682
2021-04-25,28251
2021-04-26,27004
2021-04-27,25866
2021-04-28,24735
2021-04-29,23617
2021-04-30,22615
2021-05-01,21691
2021-05-02,20773
2021-05-03,19907
2021-05-04,19160
2021-05-05,18442
2021-05-06,17788
2021-05-07,17065
2021-05-08,16422
2021-05-09,15885
2021-05-10,15349
2021-05-11,14842
2021-05-12,14358
2021-05-13,13899
2021-05-14,13523
2021-05-15,13152
2021-05-16,12828
2021-05-17,12503
2021-05-18,12220
2021-05-19,11950
2021-05-20,11671
2021-05-21,11445
2021-05-22,11281
2021-05-23,11158
2021-05-24,11002
2021-05-25,10922
2021-05-26,10862
2021-05-27,10772
2021-05-28,10695
2021-05-29,10590
2021-05-30,10517
2021-05-31,10484
2021-06-01,10509
2021-06-02,10535
2021-06-03,10601
2021-06-04,10662
2021-06-05,10712
2021-06-06,10823
2021-06-07,10846
2021-06-08,10929
