area	easting	northing	area	SIMDQuintile	region	density	age0-14	age15-44	age45-64	age65+	male	female
"S02001311"	387796.792982456	818722.10877193	3725.801	4	"S08000020"	1.14418349235507	882	1784	1169	428	48.768472906404	51.2315270935961
"S02001312"	394030.550185874	817295.769516729	5606.685	4.16666666666667	"S08000020"	0.94351653428006	1055	2136	1539	560	50.6994328922495	49.3005671077505
"S02001313"	395642.407166124	830548.697068404	226.561	4.57142857142857	"S08000020"	25.935619987553	1053	2312	1614	897	49.2511912865895	50.7488087134105
"S02001314"	394762.125	831061.25	159.955	4	"S08000020"	27.4389672095277	638	1560	1394	797	47.7101845522898	52.2898154477102
"S02001315"	398684.697017268	831333.318681319	19976.986	4	"S08000020"	0.215948491929663	750	1529	1517	518	51.50672229949	48.49327770051
"S02001316"	388015.736408567	829489.479406919	14194.535	4.14285714285714	"S08000020"	0.402408391680319	1038	2095	1820	759	50.1925770308123	49.8074229691877
"S02001317"	379920.289198606	827588.930313589	7006.237	4.66666666666667	"S08000020"	0.702659644542427	1043	1938	1372	570	49.6851513304895	50.3148486695105
"S02001318"	377477.863207547	837147.325471698	15270.729	3.5	"S08000020"	0.250806624883462	681	1408	1202	539	50.757180156658	49.242819843342
"S02001319"	364456.975555556	831696.722222222	16501.883	4	"S08000020"	0.280937636026143	809	1688	1385	754	50	50
"S02001320"	352972.306501548	834634.955108359	45756.739	3.5	"S08000020"	0.0984554428146639	835	1498	1505	667	51.6315205327414	48.3684794672586
"S02001321"	352885.395604396	839878.173626374	178.272	3.2	"S08000020"	24.8889337641357	621	1452	1244	1120	47.3968897903989	52.6031102096011
"S02001322"	368816.662601626	847858.37601626	18290.17	3.75	"S08000020"	0.152704977591788	520	1002	888	383	51.1994271392768	48.8005728607232
"S02001323"	372541.263788969	849976.803357314	165.537	3.5	"S08000020"	29.2562991959502	759	1739	1181	1164	47.759653107578	52.2403468924221
"S02001324"	357796.784543326	861639.330210773	11488.774	2.75	"S08000020"	0.285322002156192	504	999	990	785	49.267846247712	50.732153752288
"S02001325"	363782.916824197	856690.729678639	12464.469	2.6	"S08000020"	0.306711822220425	644	1231	1155	793	50.3008108815067	49.6991891184933
"S02001326"	368650.403225806	864020.741935484	145.64	2.6	"S08000020"	28.0829442460862	668	1453	1117	852	47.9951100244499	52.0048899755501
"S02001327"	370707.360714286	864386.810714286	130.753	2.6	"S08000020"	30.6991044182543	675	1529	1066	744	49.7010463378176	50.2989536621824
"S02001328"	376593.173996176	858530.31166348	15834.7	3	"S08000020"	0.202845649112392	462	1042	1074	634	50.0311332503113	49.9688667496887
"S02001329"	385609.065259117	855554.604606526	17144.073	2.75	"S08000020"	0.17854566998169	456	1038	1004	563	50.9310682783404	49.0689317216596
"S02001330"	392829.312796209	850464.225908373	15065.118	3.42857142857143	"S08000020"	0.305274741293098	739	1689	1371	800	50.2717982170037	49.7282017829963
"S02001331"	399775.521212121	848092.624242424	144.367	2.75	"S08000020"	18.9655530696073	433	948	734	623	48.1373265157049	51.8626734842951
"S02001332"	393061.760416667	842577.564583333	13609.162	3.75	"S08000020"	0.21198954057568	476	951	1063	395	50.6412478336222	49.3587521663778
"S02001333"	408232.047511312	838262.92760181	6555.049	3	"S08000020"	0.71868265210527	765	1729	1462	755	50.074294205052	49.925705794948
"S02001334"	411946.649402391	845148.199203187	278.912	3.5	"S08000020"	16.1197797154658	709	1771	1333	683	50.355871886121	49.644128113879
"S02001335"	412222.480446927	845986.106145251	76.382	2	"S08000020"	33.960880835799	344	981	635	634	48.0724749421743	51.9275250578258
"S02001336"	413050.160614525	846415.456703911	181.63	1.625	"S08000020"	35.5007432692837	1045	2804	1616	983	50.3566997518611	49.643300248139
"S02001337"	411547.004115226	846785.637860083	156.899	4	"S08000020"	28.1072537109861	738	1652	1243	777	49.1609977324263	50.8390022675737
"S02001338"	406094.355450237	850350.904028436	18321.685	3.375	"S08000020"	0.322623164845373	1079	2203	1757	872	50.1776349179496	49.8223650820504
"S02001339"	398316.725868726	864040.461389962	10585.799	2.88888888888889	"S08000020"	0.563301834844965	1059	2185	1662	1057	49.2537313432836	50.7462686567164
"S02001340"	399193.426470588	865791.274509804	166.345	4.33333333333333	"S08000020"	24.8940455078301	647	1563	1149	782	50.1086694035257	49.8913305964743
"S02001341"	398461.267716535	866225.299212599	62.07	1.66666666666667	"S08000020"	40.9215401965523	434	1133	675	298	48.503937007874	51.496062992126
"S02001342"	399289.628571429	866568.805714286	59.577	2.75	"S08000020"	46.1083975359619	398	1032	710	607	47.6519839825264	52.3480160174736
