bp,factor
2021-03-16,0.000489678
2021-03-17,0.000364384
2021-03-18,0.00427007
2021-03-20,0.00811741
2021-03-22,0.00730506
2021-03-25,0.00633169
2021-03-26,0.00750742
2021-03-27,0.00635157
2021-03-29,0.00730324
2021-04-02,0.00903642
2021-04-03,0.00757306
2021-04-04,0.00873297
2021-04-05,0.00735333
2021-04-09,0.00564122
2021-04-10,0.00444856
2021-04-13,0.00534945
2021-04-17,0.00830199
2021-04-18,0.00746692
2021-04-22,0.00898865
2021-04-23,0.00800646
2021-04-24,0.00690109
2021-04-25,0.00613778
2021-04-29,0.00474013
2021-04-30,0.00419549
2021-05-01,0.00468916
2021-05-02,0.00575434
2021-05-06,0.00434453
2021-05-09,0.00301312
2021-05-12,0.00188112
2021-05-13,0.00248916
2021-05-14,0.00170675
2021-05-15,0
2021-05-22,0.00164518
2021-05-23,0.00387093
2021-05-24,0.00272971
2021-05-26,0.00301012
2021-05-27,0.000593411
2021-05-28,0.000696263
2021-05-29,0
end,0
