# Gives the time variation in R_t.
Time,mean,95% CI min,95% CI max,Simulated
23.250000,2.000000,2.000000,2.000000,2.000000
23.750000,2.000000,2.000000,2.000000,2.000000
24.250000,2.000000,2.000000,2.000000,2.000000
24.750000,2.000000,2.000000,2.000000,2.000000
25.250000,2.000000,2.000000,2.000000,2.000000
25.750000,2.000000,2.000000,2.000000,2.000000
26.250000,2.000000,2.000000,2.000000,2.000000
26.750000,2.000000,2.000000,2.000000,2.000000
27.250000,2.000000,2.000000,2.000000,2.000000
27.750000,2.000000,2.000000,2.000000,2.000000
28.250000,2.000000,2.000000,2.000000,2.000000
28.750000,2.000000,2.000000,2.000000,2.000000
29.250000,2.000000,2.000000,2.000000,2.000000
29.750000,2.000000,2.000000,2.000000,2.000000
30.250000,2.000000,2.000000,2.000000,2.000000
30.750000,2.000000,2.000000,2.000000,2.000000
31.250000,2.000000,2.000000,2.000000,2.000000
31.750000,2.000000,2.000000,2.000000,2.000000
32.250000,2.000000,2.000000,2.000000,2.000000
32.750000,2.000000,2.000000,2.000000,2.000000
33.250000,2.000000,2.000000,2.000000,2.000000
33.750000,2.000000,2.000000,2.000000,2.000000
34.250000,2.000000,2.000000,2.000000,2.000000
34.750000,2.000000,2.000000,2.000000,2.000000
35.250000,2.000000,2.000000,2.000000,2.000000
35.750000,2.000000,2.000000,2.000000,2.000000
36.250000,2.000000,2.000000,2.000000,2.000000
36.750000,2.000000,2.000000,2.000000,2.000000
37.250000,2.000000,2.000000,2.000000,2.000000
37.750000,2.000000,2.000000,2.000000,2.000000
38.250000,2.000000,2.000000,2.000000,2.000000
38.750000,2.000000,2.000000,2.000000,2.000000
39.250000,2.000000,2.000000,2.000000,2.000000
39.750000,2.000000,2.000000,2.000000,2.000000
40.250000,2.000000,2.000000,2.000000,2.000000
40.750000,2.000000,2.000000,2.000000,2.000000
41.250000,2.000000,2.000000,2.000000,2.000000
41.750000,2.000000,2.000000,2.000000,2.000000
42.250000,2.000000,2.000000,2.000000,2.000000
42.750000,2.000000,2.000000,2.000000,2.000000
43.250000,2.000000,2.000000,2.000000,2.000000
43.750000,2.000000,2.000000,2.000000,2.000000
44.250000,2.000000,2.000000,2.000000,2.000000
44.750000,2.000000,2.000000,2.000000,2.000000
45.250000,2.000000,2.000000,2.000000,2.000000
45.750000,2.000000,2.000000,2.000000,2.000000
46.250000,2.000000,2.000000,2.000000,2.000000
46.750000,2.000000,2.000000,2.000000,2.000000
47.250000,2.000000,2.000000,2.000000,2.000000
47.750000,2.000000,2.000000,2.000000,2.000000
48.250000,2.000000,2.000000,2.000000,2.000000
48.750000,2.000000,2.000000,2.000000,2.000000
49.250000,2.000000,2.000000,2.000000,2.000000
49.750000,2.000000,2.000000,2.000000,2.000000
50.250000,2.000000,2.000000,2.000000,2.000000
50.750000,2.000000,2.000000,2.000000,2.000000
51.250000,2.000000,2.000000,2.000000,2.000000
51.750000,2.000000,2.000000,2.000000,2.000000
52.250000,2.000000,2.000000,2.000000,2.000000
52.750000,2.000000,2.000000,2.000000,2.000000
53.250000,2.000000,2.000000,2.000000,2.000000
53.750000,2.000000,2.000000,2.000000,2.000000
54.250000,2.000000,2.000000,2.000000,2.000000
54.750000,2.000000,2.000000,2.000000,2.000000
55.250000,2.000000,2.000000,2.000000,2.000000
55.750000,2.000000,2.000000,2.000000,2.000000
56.250000,2.000000,2.000000,2.000000,2.000000
56.750000,2.000000,2.000000,2.000000,2.000000
57.250000,2.000000,2.000000,2.000000,2.000000
57.750000,2.000000,2.000000,2.000000,2.000000
58.250000,2.000000,2.000000,2.000000,2.000000
58.750000,2.000000,2.000000,2.000000,2.000000
59.250000,2.000000,2.000000,2.000000,2.000000
59.750000,2.000000,2.000000,2.000000,2.000000
60.250000,2.000000,2.000000,2.000000,2.000000
60.750000,2.000000,2.000000,2.000000,2.000000
61.250000,2.000000,2.000000,2.000000,2.000000
61.750000,2.000000,2.000000,2.000000,2.000000
62.250000,2.000000,2.000000,2.000000,2.000000
62.750000,2.000000,2.000000,2.000000,2.000000
